Bertrange	C
Contern	C
Medingen	C
Moutfort	C
Oetrange	C
Alzingen	C
Fentange	C
Hesperange	C
Howald	C
Itzig	C
Ernster	C
Hostert	C
Niederanven	C
Oberanven	C
Rameldange	C
Senningen	C
Senningerberg	C
Waldhof	C
Findel	C
Sandweiler	C
Munsbach	C
Neuhäusgen	C
Schrassig	C
Schuttrange	C
Uebersyren	C
Heisdorf	C
Mullendorf	C
Muellendorf	C
Steinsel	C
Strassen	C
Bereldange	C
Helmsange	C
Walferdange	C
Hassel	C
Syren	C
Weiler-la-Tour	C
Abweiler	S
Bettembourg	S
Fennange	S
Huncherange	S
Noertzange	S
Differdange	S
Lasauvage	S
Niederkorn	S
Oberkorn	S
Budersberg	S
Burange	S
Dudelange	S
Esch-sur-Alzette	S
Aspelt	S
Frisange	S
Hellange	S
Kayl	S
Tétange	S
Leudelange	S
Bergem	S
Foetz	S
Mondercange	S
Pontpierre	S
Lamadelaine	S
Pétange	S
Rodange	S
Ehlange-sur-Mess	S
Limpach	S
Pissange	S
Reckange-sur-Mess	S
Roedgen	S
Wickrange	S
Berchem	S
Bivange	S
Crauthem	S
Kockelscheuer	S
Livange	S
Peppange	S
Roeser	S
Rumelange	S
Belvaux	S
Ehlerange	S
Sanem	S
Soleuvre	S
Schifflange	S
Assel	S
Bous	S
Erpeldange	S
Rolling	S
Dalheim	S
Filsdorf	S
Welfrange	S
Lenningen	S
Canach	S
Altwies	S
Ellange	S
Mondorf-les-Bains	S
Remich	S
Schengen	S
Schwebsange	S
Wellenstein	S
Wintrange	S
Bech-Kleinmacher	S
Burmerange	S
Elvange	S
Emerange	S
Remerschen	S
Greiveldange	S
Stadtbredimus	S
Huettermuehle	S
Ersange	S
Roedt	S
Trintange	S
Waldbredimus	S
Bettange-sur-Mess	W
Dippach	W
Schouweiler	W
Sprinkange	W
Dahlem	W
Garnich	W
Hivange	W
Kahler	W
Eischen	W
Greisch	W
Hobscheid	W
Roodt-sur-Eisch	W
Septfontaines	W
Bascharage	W
Clemency	W
Fingig	W
Hautcharage	W
Linger	W
Dondelange	W
Keispelt	W
Kehlen	W
Meispelt	W
Nospelt	W
Olm	W
Goeblange	W
Goetzingen	W
Koerich	W
Windhof	W
Bridel	W
Kopstal	W
Capellen	W
Holzem	W
Mamer	W
Grass	W
Hagen	W
Kleinbettingen	W
Steinfort	W
Berg	E
Betzdorf	E
Mensdorf	E
Olingen	E
Roodt-sur-Syre	E
Biwer	E
Boudler	E
Brouch	E
Hagelsdorf	E
Wecker	E
Weydig	E
Beyren	E
Flaxweiler	E
Gostingen	E
Niederdonven	E
Oberdonven	E
Grevenmacher	E
Altlinster	E
Beidweiler	E
Blumenthal	E
Bourglinster	E
Eisenborn	E
Eschweiler	E
Godbrange	E
Gonderange	E
Graulinster	E
Imbringen	E
Junglinster	E
Rodenbourg	E
Berbourg	E
Lellig	E
Manternach	E
Munschecker	E
Mertert	E
Wasserbillig	E
Ahn	E
Ehnen	E
Machtum	E
Wormeldange	E
Bissen	N
Welsdorf	N
Roost	N
Mertzig	N
Vichten	N
Biirteng	N
Grentzingen	N
Angelsberg	N
Fischbach	N
Koedange/Weyer	N
Schoos	N
Heffingen	N
Reuland	N
Ansembourg	N
Bill	N
Boevange-sur-Attert	N
Bour	N
Buschdorf	N
Grevenknapp	N
Hollenfels	N
Tuntange	N
Larochette	N
Ernzen	N
Gosseldange	N
Lintgen	N
Prettingen	N
Blaschette	N
Bofferdange	N
Helmdange	N
Hunsdorf	N
Lorentzweiler	N
Beringen	N
Berschbach	N
Binzrath	N
Essingen	N
Mersch	N
Moesdorf	N
Pettingen	N
Reckange	N
Rollingen	N
Schoenfels	N
Cruchten	N
Nommern	N
Schrondweiler	N
Beaufort	N
Dillingen	N
Grundhof	N
Altrier	N
Bech	N
Hemstal	N
Kobenbour	N
Rippig	N
Zittig	N
Berdorf	N
Bollendorf-Pont	N
Weilerbach	N
Consdorf	N
Breidweiler	N
Scheidgen	N
Echternach	N
Born	N
Dickweiler	N
Girst	N
Herborn	N
Hinkel	N
Moersdorf	N
Mompach	N
Osweiler	N
Rosport	N
Steinheim	N
Christnach	N
Waldbillig	N
Mullerthal	N
Haller	N
Freckeisen	N
Beckerich	N
Hovelange	N
Huttange	N
Levelange	N
Noerdange	N
Oberpallen	N
Schweich	N
Colpach-Bas	N
Colpach-Haut	N
Ell	N
Petit-Nobressart	N
Roodt	N
Dellen	N
Grosbous	N
Lehrhof	N
Grevels	N
Bettborn	N
Platen	N
Pratz	N
Reimberg	N
Arsdorf	N
Bigonville	N
Folschette	N
Koetschette	N
Perlé	N
Lannen	N
Nagem	N
Niederpallen	N
Ospern	N
Redange	N
Eltz	N
Reichlange	N
Calmus	N
Ehner	N
Kapweiler	N
Saeul	N
Schwebach	N
Everlange	N
Rippweiler	N
Schandel	N
Useldange	N
Michelbouch	N
Brattert	N
Buschrodt	N
Heispelt	N
Kuborn	N
Wahl	N
Bettendorf	N
Gilsdorf	N
Moestroff	N
Bourscheid	N
Dirbach	N
Kehmen	N
Lipperscheid	N
Michelau	N
Scheidel	N
Schlindermanderscheid	N
Welscheid	N
Diekirch	N
Burden	N
Ingeldorf	N
Ettelbruck	N
Warken	N
Niederfeulen	N
Oberfeulen	N
Bigelbach	N
Hoesdorf	N
Reisdorf	N
Wallendorf-Pont	N
Birtrange	N
Schieren	N
Niederschieren	N
Oberschieren	N
Eppeldorf	N
Ermsdorf	N
Folkendange	N
Keiwelbach	N
Medernach	N
Savelborn	N
Stegen	N
Putscheid	N
Bivels	N
Gralingen	N
Merscheid	N
Nachtmanderscheid	N
Stolzembourg	N
Weiler	N
Bastendorf	N
Bettel	N
Brandenbourg	N
Fouhren	N
Hoscheidterhof	N
Këppenhaff	N
Landscheid	N
Longsdorf	N
Tandel	N
Walsdorf	N
Vianden	N
Baschleiden	N
Boulaide	N
Surré	N
Bonnal	N
Eschdorf	N
Esch-sur-Sûre	N
Heiderscheid	N
Heiderscheidergrund	N
Insenborn	N
Lultzhausen	N
Neunhausen	N
Ringel	N
Tadler	N
Bockholtz	N
Buderscheid	N
Dahl	N
Goesdorf	N
Masseler	N
Nocher	N
Alscheid	N
Enscherange	N
Kautenbach	N
Lellingen	N
Merkholtz	N
Pintsch	N
Wilwerwiltz	N
Bavigne	N
Harlange	N
Kaundorf	N
Liefrange	N
Mecher	N
Nothum	N
Tarchamps	N
Watrange	N
Knaphoscheid	N
Roullingen	N
Selscheid	N
Weidingen	N
Wiltz	N
Berlé	N
Doncols	N
Grummelscheid	N
Noertrange	N
Pommerloch	N
Sonlez	N
Winseler	N
Clervaux	N
Drauffelt	N
Eselborn	N
Grindhausen	N
Heinerscheid	N
Hupperdange	N
Kalborn	N
Lieler	N
Marnach	N
Munshausen	N
Reuler	N
Roder	N
Siebenaler	N
Urspelt	N
Weicherdange	N
Consthum	N
Dorscheid	N
Holzthum	N
Hoscheid	N
Hosingen	N
Neidhausen	N
Rodershausen	N
Untereisenbach	N
Wahlhausen	N
Basbellain	N
Biwisch	N
Drinklange	N
Goedange	N
Hautbellain	N
Huldange	N
Troisvierges	N
Wilwerdange	N
Beiler	N
Binsfeld	N
Breidfeld	N
Holler	N
Leithum	N
Weiswampach	N
Allerborn	N
Asselborn	N
Boevange	N
Boxhorn	N
Brachtenbach	N
Deiffelt	N
Derenbach	N
Doennange	N
Hachiville	N
Hamiville	N
Hoffelt	N
Lentzweiler	N
Lullange	N
Niederwampach	N
Oberwampach	N
Rumlange	N
Sassel	N
Schimpach	N
Stockem	N
Troine	N
Wincrange	N
Eisenbach	N
Belval	S
Colmar-Berg	N
Redange-sur-Attert	N
